Filename;ActivityName;Location;ReferenceProduct
17096_d6969205-23d4-4c88-9a3a-59d95b6d8220_4495d57c-84f9-48e3-bb76-15ebc2b61d51.spold;paper production, newsprint, virgin;RER;paper, newsprint
17097_24690111-196a-4c16-89dc-075317780bba_af9fc27e-0952-4636-95ea-a36ea7f54475.spold;paper production, woodcontaining, lightweight coated;CA-QC;paper, woodcontaining, lightweight coated
17098_679afafe-a536-4906-83ed-5d59c82c98b8_af9fc27e-0952-4636-95ea-a36ea7f54475.spold;paper production, woodcontaining, lightweight coated;RER;paper, woodcontaining, lightweight coated
17099_bcce5b10-311f-4b81-91a1-b7999ef812c6_d67dd10d-a233-433b-9111-76df6834074b.spold;paper production, woodcontaining, supercalendered;CA-QC;paper, woodcontaining, supercalendered
17100_26a2bf53-2eaa-49e7-8cf8-3a87fd8a4fca_d67dd10d-a233-433b-9111-76df6834074b.spold;paper production, woodcontaining, supercalendered;RER;paper, woodcontaining, supercalendered
17101_9cd114ad-e1f9-4093-b955-f9ab2f979bcc_931288b5-8b40-4393-8421-f715faf39712.spold;paper production, woodfree, coated, at integrated mill;RER;paper, woodfree, coated
17102_88a8d41f-e61e-43bf-9c30-ef2639c6eea5_931288b5-8b40-4393-8421-f715faf39712.spold;paper production, woodfree, coated, at non-integrated mill;RER;paper, woodfree, coated
17103_37952c60-d811-41fe-a0c3-abce3f5901b2_198f9bb6-4268-4609-b85f-3f90f0d26d6d.spold;paper production, woodfree, uncoated, 30% recycled content, at integrated mill;CA-QC;paper, woodfree, uncoated
17104_d676758a-2c2b-42ab-8e9b-fed4408206a6_198f9bb6-4268-4609-b85f-3f90f0d26d6d.spold;paper production, woodfree, uncoated, 50% recycled content, at non-integrated mill;CA-QC;paper, woodfree, uncoated
17105_ed53afb5-e36d-4de7-b841-f15c73f24f1b_198f9bb6-4268-4609-b85f-3f90f0d26d6d.spold;paper production, woodfree, uncoated, at integrated mill;CA-QC;paper, woodfree, uncoated
17106_bb06eda1-a70f-473c-a2d6-b91f7bceec8e_198f9bb6-4268-4609-b85f-3f90f0d26d6d.spold;paper production, woodfree, uncoated, at integrated mill;RER;paper, woodfree, uncoated
17107_e8088df9-0a46-4a24-bb89-04451f33cd0b_198f9bb6-4268-4609-b85f-3f90f0d26d6d.spold;paper production, woodfree, uncoated, at non-integrated mill;RER;paper, woodfree, uncoated
17108_48c6890c-e182-4fa2-86f2-7c629fde0f83_a32d125e-959a-49ce-b831-0ada1f3e4a31.spold;solid bleached board production;CA-QC;solid bleached board
17109_371cc9da-76ab-4f93-8abd-b5ea417aea53_a32d125e-959a-49ce-b831-0ada1f3e4a31.spold;solid bleached board production;RER;solid bleached board
17110_29fb6f14-1b75-4d7b-89a7-71cf96f1b38d_2540e7b1-583b-49c3-a53f-db748f92f730.spold;sulfate pulp production, from hardwood, bleached;CA-QC;sulfate pulp, bleached
17111_e0c5ec77-6a4d-46d1-8254-5b3f5ecbc7bc_c8f690ff-9611-4d67-85fa-c1ce5b5f8e20.spold;turpentine to generic market for solvent for paint;GLO;solvent for paint
17112_83bc5645-5e22-4e2f-a47f-e6b4ce081001_f65d3dbd-ab3c-4636-9714-a651100cba65.spold;calcium chloride to generic market for de-icer;RER;de-icer
17113_f45fdce0-cfa8-414c-8b24-612a295b91cf_a6b32de2-648a-4cd7-a256-9b122f68dd8b.spold;chlorine production, liquid;RER;chlorine, liquid
17114_32d1f606-b901-40c2-83ef-aa84d1c515b3_c8f690ff-9611-4d67-85fa-c1ce5b5f8e20.spold;white spirit to generic market for solvent for paint;GLO;solvent for paint
17115_5a92448c-ca5a-4874-9deb-6e129bc2da83_51202bed-5f41-4b96-a788-9f6649dcb3c8.spold;iron (III) chloride production, product in 40% solution state;CH;iron (III) chloride, without water, in 40% solution state
17116_4dbee234-b32a-4e1a-b436-69081ed1bd59_39f50029-2aae-470f-87dc-5e24405df568.spold;hydrogen fluoride production;RER;hydrogen fluoride
17117_e95e4446-d639-45f4-be4f-9c99d581ff91_9d005382-c0b6-5cdc-a56c-96d392f0b1a6.spold;market for 2,4-di-tert-butylphenol;GLO;2,4-di-tert-butylphenol
17118_47c0fcca-0946-579f-928d-d4a7416f6e3c_3b363d31-87f8-483f-9676-ab3221789dca.spold;market for acetone cyanohydrin;RER;acetone cyanohydrin
17119_ab64c2c0-344b-5338-a650-5ac7da58bc7a_dab51c45-3349-4fbf-8dbc-cc97ffdd57df.spold;market for 2-butanol;RER;2-butanol
17120_e8ac8a36-5e3c-5bc1-9ce3-da5e95ce83df_2f5bfd17-304f-4568-b051-155ed2d2f3b0.spold;market for 4-tert-butyltoluene;RER;4-tert-butyltoluene
